car_brand,car_model,year_range,part_category,part_name,part_price,repair_labour_cost,replace_labour_cost,total_repair_cost,total_replace_cost
Maruti,Swift Dzire,2020-2024,Electric Parts,Fog Lamp,3490,600,800,4090,4290
Maruti,Swift Dzire,2020-2024,Electric Parts,Combination Switch,680,800,1000,1480,1680
Maruti,Swift Dzire,2020-2024,Electric Parts,Battery,4276,500,600,4776,4876
Maruti,Swift Dzire,2020-2024,Electric Parts,Horn,235,300,400,535,635
Maruti,Swift Dzire,2020-2024,Body Parts,Bonnet/Hood,3560,1500,2000,5060,5560
Maruti,Swift Dzire,2020-2024,Body Parts,Fender,649,800,1000,1449,1649
Maruti,Swift Dzire,2020-2024,Body Parts,Front Door,3499,1200,1500,4699,4999
Maruti,Swift Dzire,2020-2024,Body Parts,Rear Door,6473,1200,1500,7673,7973
Maruti,Swift Dzire,2020-2024,Body Parts,Dicky,4500,1500,2000,6000,6500
Maruti,Swift Dzire,2020-2024,Body Parts,Rear View Mirror,220,300,400,520,620
Maruti,Swift Dzire,2020-2024,Body Parts,Back Panel,350,1000,1200,1350,1550
Maruti,Swift Dzire,2020-2024,Body Parts,Front Panel,350,1000,1200,1350,1550
Maruti,Swift Dzire,2020-2024,Body Parts,Accessory belt,480,400,500,880,980
Maruti,Swift Dzire,2020-2024,Body Parts,BACK DOOR,5066,1500,2000,6566,7066
Maruti,Swift Dzire,2020-2024,Body Parts,Fuel Tank,14500,2000,2500,16500,17000
Maruti,Swift Dzire,2020-2024,Body Parts,Side View Mirror,1124,400,500,1524,1624
Maruti,Swift Dzire,2020-2024,Body Parts,Wipers,270,300,400,570,670
Maruti,Swift Dzire,2020-2024,Brakes & Suspension,Disc Brake Front,1135,800,1000,1935,2135
Maruti,Swift Dzire,2020-2024,Brakes & Suspension,Disc Brake Rear,1135,800,1000,1935,2135
Maruti,Swift Dzire,2020-2024,Brakes & Suspension,Shock Absorber Set,1700,1200,1500,2900,3200
Maruti,Swift Dzire,2020-2024,Brakes & Suspension,Front Brake Pads,1580,600,800,2180,2380
Maruti,Swift Dzire,2020-2024,Brakes & Suspension,Rear Brake Pads,1580,600,800,2180,2380
Maruti,Swift Dzire,2020-2024,Wheels,Alloy Wheel Front,6590,800,1000,7390,7590
Maruti,Swift Dzire,2020-2024,Wheels,Alloy Wheel Rear,6590,800,1000,7390,7590
Maruti,Swift Dzire,2020-2024,Service Parts,Air Filter,300,200,300,500,600
Maruti,Swift Dzire,2020-2024,Service Parts,Fuel Filter,355,300,400,655,755
Mercedes-Benz,E-Class,2021-2024,Engine Parts,Radiator,29627,3000,3500,32627,33127
Mercedes-Benz,E-Class,2021-2024,Electric Parts,Head Light,58435,1500,2000,59935,60435
Mercedes-Benz,E-Class,2021-2024,Electric Parts,Tail Light,25048,1200,1500,26248,26548
Mercedes-Benz,E-Class,2021-2024,Electric Parts,Fog Lamp,8959,800,1000,9759,9959
Mercedes-Benz,E-Class,2021-2024,Electric Parts,Battery,50898,800,1000,51698,51898
Mercedes-Benz,E-Class,2021-2024,Electric Parts,Horn,2036,400,500,2436,2536
Mercedes-Benz,E-Class,2021-2024,Body Parts,Side View Mirror,36191,800,1000,36991,37191
Mercedes-Benz,E-Class,2021-2024,Body Parts,Wipers,2686,400,500,3086,3186
Mercedes-Benz,E-Class,2021-2024,Brakes & Suspension,Disc Brake Front,21516,1500,1800,23016,23316
Mercedes-Benz,E-Class,2021-2024,Brakes & Suspension,Disc Brake Rear,21516,1500,1800,23016,23316
Mercedes-Benz,E-Class,2021-2024,Brakes & Suspension,Front Brake Pads,14159,800,1000,14959,15159
Mercedes-Benz,E-Class,2021-2024,Brakes & Suspension,Rear Brake Pads,14159,800,1000,14959,15159
Mercedes-Benz,E-Class,2021-2024,Oil & Lubricants,Engine Oil,1929,300,400,2229,2329
Mercedes-Benz,E-Class,2021-2024,Service Parts,Oil Filter,1539,300,400,1839,1939
Mercedes-Benz,E-Class,2021-2024,Service Parts,Air Filter,1898,300,400,2198,2298
Mercedes-Benz,E-Class,2021-2024,Service Parts,Fuel Filter,1235,400,500,1635,1735
Mahindra,Thar,2020-2025,Engine Parts,Radiator,6673,1500,1800,8173,8473
Mahindra,Thar,2020-2025,Engine Parts,Intercooler,5674,1800,2000,7474,7674
Mahindra,Thar,2020-2025,Engine Parts,Timing Chain,3335,2500,3000,5835,6335
Mahindra,Thar,2020-2025,Engine Parts,Clutch Plate,2230,2500,3000,4730,5230
Mahindra,Thar,2020-2025,Electric Parts,Combination Switch,1936,800,1000,2736,2936
Mahindra,Thar,2020-2025,Body Parts,Front Bumper,1797,1200,1500,2997,3297
Mahindra,Thar,2020-2025,Body Parts,Rear Bumper,870,1200,1500,2070,2370
Mahindra,Thar,2020-2025,Body Parts,Bonnet/Hood,7128,1800,2200,8928,9328
Mahindra,Thar,2020-2025,Body Parts,Front Windshield Glass,2764,1500,1800,4264,4564
Mahindra,Thar,2020-2025,Body Parts,Fender,5271,800,1000,6071,6271
Mahindra,Thar,2020-2025,Body Parts,Front Door,7875,1200,1500,9075,9375
Mahindra,Thar,2020-2025,Body Parts,Rear Door,5373,1200,1500,6573,6873
Mahindra,Thar,2020-2025,Body Parts,Front Door Handle Outer,323,300,400,623,723
Mahindra,Thar,2020-2025,Body Parts,Rear View Mirror,890,400,500,1290,1390
Mahindra,Thar,2020-2025,Body Parts,Back Panel,5479,1500,1800,6979,7279
Mahindra,Thar,2020-2025,Body Parts,Front Panel,5479,1500,1800,6979,7279
Mahindra,Thar,2020-2025,Body Parts,Accessory belt,1659,500,600,2159,2259
Mahindra,Thar,2020-2025,Body Parts,Side View Mirror,5673,600,800,6273,6473
Mahindra,Thar,2020-2025,Body Parts,Engine Guard,3254,800,1000,4054,4254
Mahindra,Thar,2020-2025,Brakes & Suspension,Disc Brake Front,1800,1200,1500,3000,3300
Mahindra,Thar,2020-2025,Brakes & Suspension,Disc Brake Rear,1800,1200,1500,3000,3300
Mahindra,Thar,2020-2025,Brakes & Suspension,Shock Absorber Set,1954,1500,1800,3454,3754
Mahindra,Thar,2020-2025,Brakes & Suspension,Front Brake Pads,2312,800,1000,3112,3312
Mahindra,Thar,2020-2025,Brakes & Suspension,Rear Brake Pads,2312,800,1000,3112,3312
Mahindra,Thar,2020-2025,Service Parts,Air Filter,420,300,400,720,820
Tata,Altroz,2020-2023,Engine Parts,Timing Chain,285,2000,2500,2285,2785
Tata,Altroz,2020-2023,Engine Parts,Clutch Plate,4255,2500,3000,6755,7255
Tata,Altroz,2020-2023,Electric Parts,Fog Lamp,4513,600,800,5113,5313
Tata,Altroz,2020-2023,Electric Parts,Head Light LED,7547,800,1000,8347,8547
Tata,Altroz,2020-2023,Electric Parts,Tail Light LED,1394,600,800,1994,2194
Tata,Altroz,2020-2023,Body Parts,Front Bumper,3338,1200,1500,4538,4838
Tata,Altroz,2020-2023,Body Parts,Rear Bumper,3338,1200,1500,4538,4838
Tata,Altroz,2020-2023,Body Parts,Fender,3197,800,1000,3997,4197
Tata,Altroz,2020-2023,Accessories,Mobile Holder,880,200,300,1080,1180
Tata,Altroz,2020-2023,Accessories,Floor mats,1950,200,300,2150,2250
Tata,Altroz,2020-2023,Brakes & Suspension,Disc Brake Front,1651,1200,1500,2851,3151
Tata,Altroz,2020-2023,Brakes & Suspension,Disc Brake Rear,1651,1200,1500,2851,3151
Tata,Altroz,2020-2023,Brakes & Suspension,Front Brake Pads,729,800,1000,1529,1729
Tata,Altroz,2020-2023,Brakes & Suspension,Rear Brake Pads,729,800,1000,1529,1729
Tata,Altroz,2020-2023,Service Parts,Oil Filter,217,300,400,517,617
Tata,Altroz,2020-2023,Service Parts,Air Filter,826,300,400,1126,1226
Maruti,Swift,2014-2021,Engine Parts,Radiator,4410,1200,1500,5610,5910
Maruti,Swift,2014-2021,Engine Parts,Intercooler,3375,1500,1800,4875,5175
Maruti,Swift,2014-2021,Engine Parts,Timing Chain,2290,2000,2500,4290,4790
Maruti,Swift,2014-2021,Engine Parts,Spark Plug,342,300,400,642,742
Maruti,Swift,2014-2021,Engine Parts,Cylinder Kit,15405,3500,4000,18905,19405
Maruti,Swift,2014-2021,Engine Parts,Clutch Plate,970,2500,3000,3470,3970
Maruti,Swift,2014-2021,Electric Parts,Head Light,2800,800,1000,3600,3800
Maruti,Swift,2014-2021,Electric Parts,Tail Light,2000,600,800,2600,2800
Maruti,Swift,2014-2021,Electric Parts,Fog Lamp Assembly,430,600,800,1030,1230
Maruti,Swift,2014-2021,Electric Parts,Bulb,114,200,300,314,414
Maruti,Swift,2014-2021,Electric Parts,Head Light LED,3500,800,1000,4300,4500
Maruti,Swift,2014-2021,Electric Parts,Horn,320,300,400,620,720
Maruti,Swift,2014-2021,Body Parts,Front Bumper,1501,1200,1500,2701,3001
Maruti,Swift,2014-2021,Body Parts,Rear Bumper,2780,1200,1500,3980,4280
Maruti,Swift,2014-2021,Body Parts,Bonnet/Hood,3133,1500,2000,4633,5133
Maruti,Swift,2014-2021,Body Parts,Front Windshield Glass,3340,1500,1800,4840,5140
Maruti,Swift,2014-2021,Body Parts,Rear Windshield Glass,2560,1200,1500,3760,4060
Maruti,Swift,2014-2021,Body Parts,Fender,1080,800,1000,1880,2080
Maruti,Swift,2014-2021,Body Parts,Front Door,4810,1200,1500,6010,6310
Maruti,Swift,2014-2021,Body Parts,Rear Door,6625,1200,1500,7825,8125
Maruti,Swift,2014-2021,Body Parts,Dicky,4736,1500,2000,6236,6736
Maruti,Swift,2014-2021,Body Parts,Front Door Handle Outer,750,300,400,1050,1150
Maruti,Swift,2014-2021,Body Parts,Back Panel,710,1000,1200,1710,1910
Maruti,Swift,2014-2021,Body Parts,Front Panel,750,1000,1200,1750,1950
Maruti,Swift,2014-2021,Body Parts,Accessory belt,1646,500,600,2146,2246
Maruti,Swift,2014-2021,Body Parts,BACK DOOR,5066,1500,2000,6566,7066
Maruti,Swift,2014-2021,Body Parts,Side View Mirror,2869,400,500,3269,3369
Maruti,Swift,2014-2021,Body Parts,Engine Guard,2100,800,1000,2900,3100
Maruti,Swift,2014-2021,Body Parts,Wipers,513,300,400,813,913
Maruti,Swift,2014-2021,Brakes & Suspension,Disc Brake Front,1150,800,1000,1950,2150
Maruti,Swift,2014-2021,Brakes & Suspension,Disc Brake Rear,1150,800,1000,1950,2150
Maruti,Swift,2014-2021,Brakes & Suspension,Shock Absorber Set,3461,1200,1500,4661,4961
Maruti,Swift,2014-2021,Brakes & Suspension,Front Brake Pads,1530,600,800,2130,2330
Maruti,Swift,2014-2021,Brakes & Suspension,Rear Brake Pads,1530,600,800,2130,2330
Maruti,Swift,2014-2021,Wheels,Alloy Wheel Front,6990,800,1000,7790,7990
Maruti,Swift,2014-2021,Wheels,Alloy Wheel Rear,6990,800,1000,7790,7990
Maruti,Swift,2014-2021,Service Parts,Oil Filter,438,300,400,738,838
Maruti,Swift,2014-2021,Service Parts,Air Filter,978,300,400,1278,1378
Maruti,Swift,2014-2021,Service Parts,Fuel Filter,972,300,400,1272,1372
Tata,Tiago,2016-2023,Engine Parts,Radiator,5644,1200,1500,6844,7144
Tata,Tiago,2016-2023,Engine Parts,Timing Chain,1605,2000,2500,3605,4105
Tata,Tiago,2016-2023,Engine Parts,Fan Belt,455,400,500,855,955
Tata,Tiago,2016-2023,Engine Parts,Clutch Plate,3140,2500,3000,5640,6140
Tata,Tiago,2016-2023,Electric Parts,Head Light,7680,800,1000,8480,8680
Tata,Tiago,2016-2023,Electric Parts,Tail Light,2176,600,800,2776,2976
Tata,Tiago,2016-2023,Body Parts,Front Bumper,2560,1200,1500,3760,4060
Tata,Tiago,2016-2023,Body Parts,Rear Bumper,2560,1200,1500,3760,4060
Tata,Tiago,2016-2023,Body Parts,Bonnet/Hood,8960,1500,2000,10460,10960
Tata,Tiago,2016-2023,Body Parts,Front Windshield Glass,8960,1500,1800,10460,10760
Tata,Tiago,2016-2023,Body Parts,Rear Windshield Glass,5120,1200,1500,6320,6620
Tata,Tiago,2016-2023,Body Parts,Fender,1664,800,1000,2464,2664
Tata,Tiago,2016-2023,Body Parts,Front Door,23552,1200,1500,24752,25052
Tata,Tiago,2016-2023,Body Parts,Rear Door,23552,1200,1500,24752,25052
Tata,Tiago,2016-2023,Body Parts,Dicky,5120,1500,2000,6620,7120
Tata,Tiago,2016-2023,Body Parts,Side View Mirror,1150,400,500,1550,1650
Tata,Tiago,2016-2023,Body Parts,Wipers,510,300,400,810,910
Tata,Tiago,2016-2023,Brakes & Suspension,Disc Brake Front,1050,800,1000,1850,2050
Tata,Tiago,2016-2023,Brakes & Suspension,Disc Brake Rear,1050,800,1000,1850,2050
Tata,Tiago,2016-2023,Brakes & Suspension,Front Brake Pads,1465,600,800,2065,2265
Tata,Tiago,2016-2023,Brakes & Suspension,Rear Brake Pads,1465,600,800,2065,2265
Tata,Tiago,2016-2023,Service Parts,Oil Filter,120,300,400,420,520
Tata,Tiago,2016-2023,Service Parts,Air Filter,454,300,400,754,854
Tata,Tiago,2016-2023,Service Parts,Fuel Filter,385,300,400,685,785
Kia,Sonet,2020-2024,Engine Parts,Spark Plug,1341,300,400,1641,1741
Kia,Sonet,2020-2024,Oil & Lubricants,Engine Oil,1217,300,400,1517,1617
Kia,Sonet,2020-2024,Oil & Lubricants,Coolant,563,200,300,763,863
Kia,Sonet,2020-2024,Oil & Lubricants,Brake Oil,295,200,300,495,595
Kia,Sonet,2020-2024,Service Parts,Oil Filter,360,300,400,660,760
Kia,Sonet,2020-2024,Service Parts,Fuel Filter,609,300,400,909,1009
Kia,Carens,2022-2024,Accessories,Body side moulding (chrome),2737,400,500,3137,3237
Kia,Carens,2022-2024,Accessories,Window chrome beltline,2255,500,600,2755,2855
Kia,Carens,2022-2024,Accessories,Front bumper garnish,537,300,400,837,937
Kia,Carens,2022-2024,Accessories,Rear boot garnish,1085,300,400,1385,1485
Kia,Carens,2022-2024,Accessories,Headlamp garnish,1374,300,400,1674,1774
Kia,Carens,2022-2024,Accessories,ORVM chrome,1099,300,400,1399,1499
Kia,Carens,2022-2024,Accessories,Wheel arch chrome,2475,400,500,2875,2975
Kia,Carens,2022-2024,Accessories,Door visor with chrome insert,4597,500,600,5097,5197
Kia,Carens,2022-2024,Accessories,Body cover,2256,200,300,2456,2556
Kia,Carens,2022-2024,Accessories,Mud flap,673,200,300,873,973
Kia,Carens,2022-2024,Accessories,Door finger guard,999,200,300,1199,1299
Kia,Carens,2022-2024,Accessories,Chrome door handle,1250,300,400,1550,1650
Kia,Carens,2022-2024,Accessories,Door edge guard,534,200,300,734,834
Kia,Carens,2022-2024,Accessories,Rear bumper garnish,505,300,400,805,905
Kia,Carens,2022-2024,Accessories,C-pillar garnish,841,300,400,1141,1241
Kia,Carens,2022-2024,Accessories,Taillamp garnish,1787,300,400,2087,2187
Kia,Carens,2022-2024,Accessories,Side step,20632,800,1000,21432,21632
Kia,Carens,2022-2024,Accessories,Boot mat,499,200,300,699,799
Kia,Carens,2022-2024,Accessories,3D boot mat,1089,200,300,1289,1389
Kia,Carens,2022-2024,Accessories,3D cabin mat,4129,400,500,4529,4629
Kia,Carens,2022-2024,Accessories,Floor mat,1570,200,300,1770,1870
Kia,Carens,2022-2024,Accessories,Door sill guard,1072,300,400,1372,1472
Kia,Carens,2022-2024,Accessories,Sunblinds,2268,400,500,2668,2768
Kia,Carens,2022-2024,Accessories,Shoe box,949,200,300,1149,1249
Kia,Carens,2022-2024,Accessories,Seatbelt cover,498,200,300,698,798
Toyota,Fortuner,2020-2024,Engine Parts,Timing Chain,8138,2800,3300,10938,11438
Toyota,Fortuner,2020-2024,Engine Parts,Spark Plug,1508,400,500,1908,2008
Toyota,Fortuner,2020-2024,Engine Parts,Clutch Plate,4001,2800,3300,6801,7301
Toyota,Fortuner,2020-2024,Electric Parts,Head Light,8438,800,1000,9238,9438
Toyota,Fortuner,2020-2024,Electric Parts,Tail Light,16500,1200,1500,17700,18000
Toyota,Fortuner,2020-2024,Electric Parts,Fog Lamp Assembly,7786,600,800,8386,8586
Toyota,Fortuner,2020-2024,Electric Parts,Bulb,1100,200,300,1300,1400
Toyota,Fortuner,2020-2024,Electric Parts,Fog Lamp,15572,600,800,16172,16372
Toyota,Fortuner,2020-2024,Electric Parts,Combination Switch,6430,800,1000,7230,7430
Toyota,Fortuner,2020-2024,Body Parts,Front Bumper,14857,1500,2000,16357,16857
Toyota,Fortuner,2020-2024,Body Parts,Rear Bumper,16875,1500,2000,18375,18875
Toyota,Fortuner,2020-2024,Body Parts,Bonnet/Hood,23000,1800,2200,24800,25200
Toyota,Fortuner,2020-2024,Body Parts,Front Windshield Glass,14000,1500,1800,15500,15800
Toyota,Fortuner,2020-2024,Body Parts,Rear Windshield Glass,21999,1200,1500,23199,23499
Toyota,Fortuner,2020-2024,Body Parts,Fender,15987,800,1000,16787,16987
Toyota,Fortuner,2020-2024,Body Parts,Front Door Handle Outer,4892,300,400,5192,5292
Toyota,Fortuner,2020-2024,Body Parts,Rear View Mirror,2637,400,500,3037,3137
Toyota,Fortuner,2020-2024,Body Parts,Back Panel,16739,1500,1800,18239,18539
Toyota,Fortuner,2020-2024,Body Parts,Front Panel,16739,1500,1800,18239,18539
Toyota,Fortuner,2020-2024,Body Parts,Accessory belt,3586,500,600,4086,4186
Toyota,Fortuner,2020-2024,Body Parts,BACK DOOR,41000,2000,2500,43000,43500
Toyota,Fortuner,2020-2024,Body Parts,Silencer Assly,27478,1500,1800,28978,29278
Toyota,Fortuner,2020-2024,Body Parts,Wipers,1192,300,400,1492,1592
Toyota,Fortuner,2020-2024,Brakes & Suspension,Shock Absorber Set,11112,1500,1800,12612,12912
Toyota,Fortuner,2020-2024,Brakes & Suspension,Front Brake Pads,1665,800,1000,2465,2665
Toyota,Fortuner,2020-2024,Brakes & Suspension,Rear Brake Pads,1665,800,1000,2465,2665
Mahindra,Bolero,2020-2024,Engine Parts,Radiator,4899,1200,1500,6099,6399
Mahindra,Bolero,2020-2024,Engine Parts,Timing Chain,320,2000,2500,2320,2820
Mahindra,Bolero,2020-2024,Engine Parts,Fan Belt,320,400,500,720,820
Mahindra,Bolero,2020-2024,Engine Parts,Clutch Plate,5255,2500,3000,7755,8255
Mahindra,Bolero,2020-2024,Electric Parts,Head Light,3642,800,1000,4442,4642
Mahindra,Bolero,2020-2024,Electric Parts,Tail Light,875,600,800,1475,1675
Mahindra,Bolero,2020-2024,Body Parts,Front Bumper,3445,1200,1500,4645,4945
Mahindra,Bolero,2020-2024,Body Parts,Rear Bumper,2077,1200,1500,3277,3577
Mahindra,Bolero,2020-2024,Body Parts,Bonnet/Hood,7855,1500,2000,9355,9855
Mahindra,Bolero,2020-2024,Body Parts,Front Windshield Glass,4134,1500,1800,5634,5934
Mahindra,Bolero,2020-2024,Body Parts,Rear Windshield Glass,921,1200,1500,2121,2421
Mahindra,Bolero,2020-2024,Body Parts,Fender,2943,800,1000,3743,3943
Mahindra,Bolero,2020-2024,Body Parts,Front Door,9844,1200,1500,11044,11344
Mahindra,Bolero,2020-2024,Body Parts,Rear Door,9844,1200,1500,11044,11344
Mahindra,Bolero,2020-2024,Body Parts,Dicky,9036,1500,2000,10536,11036
Mahindra,Bolero,2020-2024,Body Parts,Side View Mirror,210,400,500,610,710
Mahindra,Bolero,2020-2024,Body Parts,Wipers,495,300,400,795,895
Mahindra,Bolero,2020-2024,Brakes & Suspension,Disc Brake Front,1689,800,1000,2489,2689
Mahindra,Bolero,2020-2024,Brakes & Suspension,Disc Brake Rear,1689,800,1000,2489,2689
Mahindra,Bolero,2020-2024,Brakes & Suspension,Front Brake Pads,1992,600,800,2592,2792
Mahindra,Bolero,2020-2024,Brakes & Suspension,Rear Brake Pads,1992,600,800,2592,2792
Mahindra,Bolero,2020-2024,Service Parts,Oil Filter,210,300,400,510,610
Mahindra,Bolero,2020-2024,Service Parts,Air Filter,445,300,400,745,845
Mahindra,Bolero,2020-2024,Service Parts,Fuel Filter,592,300,400,892,992
Audi,Q7,2022-2024,Engine Parts,Radiator,23757,3000,3500,26757,27257
Audi,Q7,2022-2024,Engine Parts,Spark Plug,1812,400,500,2212,2312
Audi,Q7,2022-2024,Electric Parts,Tail Light,20053,1200,1500,21253,21553
Audi,Q7,2022-2024,Electric Parts,Horn,1549,400,500,1949,2049
Audi,Q7,2022-2024,Brakes & Suspension,Disc Brake Front,16581,1500,1800,18081,18381
Audi,Q7,2022-2024,Brakes & Suspension,Disc Brake Rear,16581,1500,1800,18081,18381
Audi,Q7,2022-2024,Brakes & Suspension,Shock Absorber Set,8305,1500,1800,9805,10105
Audi,Q7,2022-2024,Brakes & Suspension,Front Brake Pads,10206,800,1000,11006,11206
Audi,Q7,2022-2024,Brakes & Suspension,Rear Brake Pads,10206,800,1000,11006,11206
Audi,Q7,2022-2024,Service Parts,Oil Filter,936,300,400,1236,1336
Audi,Q7,2022-2024,Service Parts,Air Filter,1544,300,400,1844,1944
Audi,Q7,2022-2024,Service Parts,Fuel Filter,1488,400,500,1888,1988
BMW,5 Series,2021-2024,Engine Parts,Radiator,47077,3000,3500,50077,50577
BMW,5 Series,2021-2024,Engine Parts,Spark Plug,2714,400,500,3114,3214
BMW,5 Series,2021-2024,Electric Parts,Head Light,66949,1500,2000,68449,68949
BMW,5 Series,2021-2024,Electric Parts,Tail Light,38235,1200,1500,39435,39735
BMW,5 Series,2021-2024,Electric Parts,Fog Lamp,41035,800,1000,41835,42035
BMW,5 Series,2021-2024,Electric Parts,Horn,9809,400,500,10209,10309
BMW,5 Series,2021-2024,Body Parts,Front Windshield Glass,69592,2000,2500,71592,72092
BMW,5 Series,2021-2024,Body Parts,Wipers,2362,400,500,2762,2862
BMW,5 Series,2021-2024,Brakes & Suspension,Disc Brake Front,9156,1500,1800,10656,10956
BMW,5 Series,2021-2024,Brakes & Suspension,Disc Brake Rear,9156,1500,1800,10656,10956
BMW,5 Series,2021-2024,Brakes & Suspension,Shock Absorber Set,14990,1500,1800,16490,16790
BMW,5 Series,2021-2024,Brakes & Suspension,Front Brake Pads,6502,800,1000,7302,7502
BMW,5 Series,2021-2024,Brakes & Suspension,Rear Brake Pads,6502,800,1000,7302,7502
BMW,5 Series,2021-2024,Service Parts,Oil Filter,3451,300,400,3751,3851
BMW,5 Series,2021-2024,Service Parts,Air Filter,2163,300,400,2463,2563
Maruti,Grand Vitara,2022-2024,Electric Parts,Head Light,11152,800,1000,11952,12152
Maruti,Grand Vitara,2022-2024,Electric Parts,Tail Light,2187,600,800,2787,2987
Maruti,Grand Vitara,2022-2024,Body Parts,Front Bumper,12325,1500,2000,13825,14325
Maruti,Grand Vitara,2022-2024,Body Parts,Rear Bumper,10396,1500,2000,11896,12396
Maruti,Grand Vitara,2022-2024,Body Parts,Bonnet/Hood,22163,1800,2200,23963,24363
Maruti,Grand Vitara,2022-2024,Body Parts,Front Windshield Glass,18564,1500,1800,20064,20364
Maruti,Grand Vitara,2022-2024,Body Parts,Rear Windshield Glass,12689,1200,1500,13889,14189
Maruti,Grand Vitara,2022-2024,Body Parts,Fender,8335,800,1000,9135,9335
Maruti,Grand Vitara,2022-2024,Body Parts,Front Door,14665,1200,1500,15865,16165
Maruti,Grand Vitara,2022-2024,Body Parts,Rear Door,14304,1200,1500,15504,15804
Maruti,Grand Vitara,2022-2024,Body Parts,Dicky,17208,1500,2000,18708,19208
Toyota,Hyryder,2022-2024,Accessories,Front bumper garnish,3482,400,500,3882,3982
Toyota,Hyryder,2022-2024,Accessories,Roof ornament,4326,500,600,4826,4926
Toyota,Hyryder,2022-2024,Accessories,Headlight garnish,1203,300,400,1503,1603
Toyota,Hyryder,2022-2024,Accessories,Rear bumper garnish,3891,400,500,4291,4391
Toyota,Hyryder,2022-2024,Accessories,Roof spoiler extension,704,300,400,1004,1104
Toyota,Hyryder,2022-2024,Accessories,Boot lid garnish,1485,300,400,1785,1885
Toyota,Hyryder,2022-2024,Accessories,Body side molding,2739,400,500,3139,3239
Toyota,Hyryder,2022-2024,Accessories,Door visor,1920,400,500,2320,2420
Toyota,Hyryder,2022-2024,Accessories,Body cover,1994,200,300,2194,2294
Toyota,Hyryder,2022-2024,Accessories,Rear reflector garnish,512,200,300,712,812
Toyota,Hyryder,2022-2024,Accessories,ORVM garnish,563,300,400,863,963
Toyota,Hyryder,2022-2024,Accessories,Side step,14413,800,1000,15213,15413
Toyota,Hyryder,2022-2024,Accessories,Hood emblem,1075,200,300,1275,1375
Toyota,Hyryder,2022-2024,Accessories,Body cladding,2957,400,500,3357,3457
Toyota,Hyryder,2022-2024,Accessories,Fender garnish,986,300,400,1286,1386
Toyota,Hyryder,2022-2024,Accessories,Taillight garnish,1114,300,400,1414,1514
Toyota,Hyryder,2022-2024,Accessories,Side skirt,3290,500,600,3790,3890
Toyota,Hyryder,2022-2024,Accessories,Door edge protector,602,200,300,802,902
Toyota,Hyryder,2022-2024,Accessories,Roof carrier,14413,800,1000,15213,15413
Toyota,Hyryder,2022-2024,Accessories,Roof basket,26790,1000,1200,27790,27990
Toyota,Hyryder,2022-2024,Accessories,Tailgate garnish,1216,300,400,1516,1616
Toyota,Hyryder,2022-2024,Accessories,Mud flap,512,200,300,712,812
